available,category,image,link,price,shop,sku,title
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/06/14/11406/images/13584/13584.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i3-10105-oem-cm8070104291321/,7 500,28bit.ru,11697,Процессор Intel Core i3 10105 OEM CM8070104291321
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/94/24/12494/images/27686/27686.170x0.jpeg,https://28bit.ru/protsessor-amd-ryzen-3-4350g-pro-oem-100-000000148/,7 960,28bit.ru,12789,Процессор AMD Ryzen 3 4350G PRO OEM 100-000000148
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/81/92/19281/images/32303/32303.170x0.jpeg,https://28bit.ru/protsessor-amd-ryzen-r5-5500-oem-100-000000457/,7 960,28bit.ru,19918,Процессор AMD Ryzen 5 5500 OEM 100-000000457
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/17/22/12217/images/27410/27410.170x0.jpeg,https://28bit.ru/protsessor-intel-pentium-g5400-oem-cm8068403360112/,8 180,28bit.ru,12512,Процессор Intel Pentium G5400 OEM CM8068403360112
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/00/32/13200/images/28365/28365.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i3-12100-oem-cm8071504651012/,8 500,28bit.ru,13495,Процессор Intel Core i3 12100 OEM CM8071504651012
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/01/94/19401/images/33292/33292.170x0.png,https://28bit.ru/protsessor-intel-core-i3-13100f-oem-cm8071505092203/,9 210,28bit.ru,20038,Процессор Intel Core i3 13100F OEM CM8071505092203
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/24/59/5924/images/10201/10201.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i3-9100-oem-cm8068403377319/,9 380,28bit.ru,5925,Процессор Intel Core i3 9100 OEM CM8068403377319
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/35/56/5635/images/10236/10236.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i5-10400-oem-cm8070104290715srh3c/,9 490,28bit.ru,5636,Процессор Intel Core i5 10400 OEM CM8070104290715
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/31/40/14031/images/29141/29141.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i3-12100f-box-bx8071512100f/,9 580,28bit.ru,14603,Процессор Intel Core i3 12100F BOX BX8071512100F
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/21/93/9321/images/11642/11642.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i5-11400f-oem-bx8070811400/,9 710,28bit.ru,9350,Процессор Intel Core i5 11400F OEM CM8070804497016
